# d, delta_theta (radians)
0.315858,0.037509
0.050335,-0.135436
-0.055177,-0.086052
0.217718,-0.053315
0.091878,-0.043918
0.015944,-0.149178
0.302925,-0.065937
0.127130,-0.002031
-0.064488,0.121551
0.256779,-0.273508
-0.080171,-0.091177
0.216275,-0.043542
0.133966,0.029569
-0.266482,-0.110091
-0.097845,-0.031581
-0.061861,0.138098
-0.164405,0.062372
0.303067,-0.017897
0.074148,-0.010052
0.312525,-0.006722
0.040805,-0.004177
0.353761,-0.085674
0.138647,0.035802
0.219276,-0.043943
0.031645,-0.134103
-0.062079,0.121953
-0.096133,-0.074718
0.043502,0.034148
-0.013498,-0.036805
0.286846,0.081496
0.384091,0.077211
0.193362,0.044805
0.107317,0.045388
0.085391,0.045978
0.464681,0.155023
0.036315,0.021143
0.003376,0.157620
0.114076,0.034586
0.464734,0.148872
0.146873,-0.077971
-0.103187,0.117608
-0.237319,-0.167407
0.221454,0.040660
0.025070,0.059430
-0.057153,0.025398
-0.011949,0.120657
-0.170042,-0.049337
0.038542,-0.209653
-0.172124,-0.042347
0.219997,0.062772
-0.084795,-0.005752
0.187963,-0.071147
0.234843,0.049977
0.086161,0.006532
0.042468,-0.092755
0.286090,0.009816
0.285484,-0.039265
0.097266,0.066675
0.258137,0.077672
0.202886,0.012240
-0.115071,-0.002017
0.310693,0.006635
-0.018664,-0.048583
0.086087,0.031174
-0.086450,-0.165639
0.247725,-0.026514
0.259010,-0.013763
0.243953,-0.066661
0.101442,-0.001590
-0.067674,0.027990
0.019778,0.005041
0.302625,0.015172
0.052886,0.166384
0.003841,0.031051
0.312049,-0.060477
0.247180,0.099429
0.343105,0.057219
-0.004780,-0.015771
0.044520,-0.084222
0.109156,0.100637
0.217893,-0.028834
0.013433,-0.067539
-0.070965,-0.056517
0.263014,-0.086031
0.067838,-0.004548
0.119048,-0.159238
0.075575,0.001442
-0.235946,-0.147553
0.036411,-0.048385
-0.102448,-0.025044
0.160740,-0.143356
0.026211,-0.055015
-0.041090,-0.120218
-0.189794,-0.000680
0.212645,-0.111730
-0.029468,-0.031476
0.208482,0.109803
-0.180647,-0.032925
0.129137,-0.142593
0.100122,-0.059107
-0.167953,0.046516
0.112207,-0.119784
-0.130207,-0.154458
0.252885,0.024961
0.040317,0.042272
0.111499,-0.129369
0.079958,-0.164540
0.128262,0.008030
0.015224,-0.063332
-0.057447,0.084743
0.081052,-0.092738
0.093859,-0.082561
0.114489,-0.006117
0.148159,-0.075101
-0.012434,-0.134081
0.036573,-0.028186
0.039919,0.053186
-0.110000,0.105058
0.110231,0.117113
0.028093,-0.011754
0.020406,0.045262
0.264999,0.005251
0.754276,-0.042599
-0.087791,-0.036257
0.025296,0.009550
0.074368,-0.100555
0.095845,0.098786
0.207790,0.107809
-0.122315,-0.025057
0.034465,0.101792
0.096568,-0.055532
-0.036225,-0.096172
0.073184,0.133855
-0.051956,-0.093881
0.154303,0.020114
-0.073948,-0.045184
0.307052,-0.037334
0.306928,0.037292
0.018146,-0.063447
0.252415,-0.011473
0.184161,0.058937
-0.125632,0.234685
0.162434,0.055484
0.166179,0.057185
0.075280,-0.096899
0.045189,-0.016446
0.006519,0.034886
0.264775,0.058966
0.039767,-0.000613
-0.260459,0.018447
0.331920,0.054206
-0.060780,0.105651
0.466637,-0.015287
0.322860,-0.107057
0.008576,-0.159015
0.177146,0.007968
