# squared distance, heading (radians)
35.246968,-2.408712
34.781809,-2.464020
34.212963,-2.387827
33.558656,-2.385497
32.537972,-2.438553
31.422252,-2.456553
31.010803,-2.510703
30.479260,-2.541640
30.141983,-2.552412
29.365441,-2.486127
28.992281,-2.561908
27.782508,-2.575285
27.441659,-2.579136
27.076972,-2.637263
26.237484,-2.608858
26.062681,-2.639380
25.025839,-2.659608
25.178828,-2.687436
24.497705,-2.669273
24.226498,-2.755637
23.868597,-2.720017
23.871560,-2.734949
23.267185,-2.744922
22.530412,-2.836621
22.487218,-2.893965
22.057356,-2.879359
21.648929,-2.863372
21.589998,-2.865054
21.378444,-2.878789
21.156591,-2.989473
21.170124,-2.974798
20.033766,-2.933653
20.712054,-2.974528
20.331908,-3.021625
20.695310,-3.088258
20.330184,-3.024310
20.477718,-3.081239
20.703919,-3.092656
20.158534,3.138453
20.109754,3.130400
19.981238,3.085762
20.522148,3.095774
20.819628,3.119501
20.376205,3.084897
20.872250,3.043248
20.616743,3.109947
20.243654,2.968228
20.942156,2.989552
21.041892,2.922645
20.672931,2.919336
21.121270,2.823659
21.796483,2.886270
22.295240,2.895219
22.449551,2.825981
22.399470,2.819547
23.210752,2.804257
23.093397,2.747971
23.369481,2.644978
23.810347,2.734423
24.366185,2.789714
24.865097,2.704918
25.339586,2.728741
25.338165,2.694922
26.205562,2.703723
26.758305,2.598282
27.517532,2.599413
26.997815,2.544436
28.390353,2.560725
28.376927,2.509728
29.381611,2.554348
29.316049,2.557929
30.339858,2.551274
31.191117,2.564258
31.990887,2.489716
32.578008,2.531768
33.207762,2.481652
33.962746,2.546946
34.359110,2.379501
35.331779,2.485605
36.047192,2.366612
36.106160,2.352515
36.664968,2.426197
37.370685,2.361878
37.281818,2.357749
37.379224,2.432035
37.578413,2.397815
37.856952,2.366170
38.116315,2.377608
38.192306,2.348651
38.162601,2.387934
38.434655,2.327917
37.688327,2.399819
37.464297,2.288943
37.028502,2.373778
36.703634,2.287611
36.738604,2.387613
36.680775,2.249736
36.462076,2.212192
35.585896,2.332314
35.264288,2.276510
35.038012,2.310339
34.980565,2.233839
